"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"R_vs_S:B.DN & R_vs_S:B.UP",2,0,87.1535593220339,0,1,""
"R_vs_S:A.UP & R_vs_S:B.UP",2,1781,1287.27152542373,1.38354648947412,5.18250848851368e-76,"AAK1, AASDH, AASS, ABAT, ABCA1, ABCA10, ABCA6, ABCA9, ABCB1, ABCC9, ABHD13, ABHD15, ABHD17B, ABHD2, ABHD4, ABI3BP, ABTB1, ABTB2, ACAD10, ACAD8, ACADL, ACBD4, ACKR1, ACN9, ACSL4, ACSL5, ACVR1, ACVRL1, ACYP2, ADAM22, ADAM28, ADAMTS13, ADAMTS9, ADAMTSL1, ADCY4, ADCYAP1R1, ADD3, ADHFE1, ADIPOR1, ADORA3, ADPRM, ADRB2, AFG3L1P, AFMID, AGA, AGAP2, AGAP6, AGAP9, AGMAT, AHCYL2, AIDA, AJUBA, AK9, AKAP7, AKNA, AKR1C3, AKR1E2, AKT2, AKT3, ALAS2, ALDH1A1, ALDH1L2, ALG10, ALKBH3, ALOX12P2, ALOX5, ALOX5AP, ALPK1, ALS2, ALS2CR11, AMBRA1, AMMECR1L, AMT, AMY2B, ANGPTL2, ANKDD1A, ANKH, ANKRD10, ANKRD18A, ANKRD20A5P, ANKRD22, ANKRD33B, ANKRD36BP2, ANKRD42, ANKRD44, ANKRD46, ANKRD65, AOAH, AOX1, AP1S2, AP4B1, AP4S1, AP5M1, APCDD1, APLNR, APOBEC3F, APOBEC3G, APOC1, APOE, APOL1, APOL2, APOL3, APOL4, APOL6, APOLD1, APTR, AQP1, AQP11, AQP3, ARHGAP20, ARHGAP25, ARHGAP26, ARHGAP4, ARHGAP40, ARHGAP42, ARHGEF3, ARHGEF6, ARID5A, ARID5B, ARL14EP, ARL6IP5, ARRB1, ARRDC2, ARRDC4, ARSI, ASAH1, ASAP1-IT2, ASB14, ASB16-AS1, ASB3, ATF7IP2, ATG13, ATG4C, ATM, ATP10D, ATP11C, ATP1B2, ATP5S, ATP5SL, ATP6V1B1, ATP6V1B2, ATP8A1, ATP8B4, ATP9B, ATXN1, AUP1, AVIL, AVPI1, AXL, B2M, B3GALNT1, BACH2, BAHD1, BBC3, BBIP1, BBS12, BCKDHA, BCL11A, BCL11B, BCL2, BCL6, BEND4, BET1L, BFSP1, BHLHB9, BHMT2, BIN1, BIN2, BLOC1S2, BLOC1S3, BMF, BNIP2, BRE-AS1, BST1, BTBD1, BTBD11, BTBD3, BTG1, BTG2, BTN2A3P, BTN3A2, BTN3A3, BZRAP1, C10orf128, C10orf131, C10orf88, C11orf1, C11orf45, C11orf63, C11orf68, C11orf74, C11orf96, C12orf61, C12orf65, C12orf76, C12orf79, C14orf164, C14orf28, C15orf41, C15orf57, C16orf54, C16orf72, C17orf100, C17orf58, C17orf59, C17orf70, C19orf54, C19orf66, C19orf82, C1orf145, C1orf162, C1orf74, C1orf86, C1QBP, C1R, C1RL, C20orf194, C20orf196, C2orf42, C2orf76, C2orf82, C2orf88, C3orf52, C3orf55, C3orf80, C4orf19, C4orf29, C4orf32, C5, C5orf56, C5orf63, C6orf10, C6orf120, C7, C8orf58, C9orf37, C9orf66, C9orf85, C9orf91, CA13, CA5B, CACNA1A, CADM1, CADPS, CALCRL, CAMKMT, CANT1, CAPRIN2, CAPZA3, CARD6, CASC2, CASP10, CASP6, CASP9, CATSPER2P1, CBLB, CBWD6, CBX7, CC2D2B, CCDC101, CCDC115, CCDC141, CCDC148, CCDC15, CCDC152, CCDC168, CCDC18, CCDC28A, CCDC39, CCDC71L, CCDC82, CCDC83, CCDC88A, CCDC90B, CCL18, CCL8, CCM2, CCND2, CCNDBP1, CCNG1, CCNT2-AS1, CD160, CD164, CD2, CD200, CD247, CD28, CD40, CD44, CD59, CD84, CD8A, CD8B, CD96, CDC23, CDC42EP3, CDC42EP4, CDH13, CDH26, CDHR3, CDIP1, CDK14, CDK5R1, CDO1, CDS2, CDV3, CEACAM1, CEACAM6, CEBPA, CECR1, CEL, CELF2, CELF6, CEP135, CEP170, CEP44, CEP85L, CERS3, CFI, CGGBP1, CGRRF1, CHKB, CHL1, CHMP4A, CHMP7, CHN2, CHPT1, CHRDL1, CHRNB1, CHST9, CIITA, CILP, CISD3, CLCN6, CLDN11, CLDN15, CLEC2B, CLEC2D, CLEC4A, CLIC2, CLIC5, CLN5, CLN8, CLSTN2, CMAHP, CMIP, CMTM3, CNDP2, CNEP1R1, CNOT7, CNPY4, CNTNAP1, COL14A1, COL4A3, COL4A4, COL6A4P2, COL6A6, COLCA1, COLCA2, COLEC12, COPS8, COPZ2, COQ10A, COQ4, CORO2B, COX18, CPED1, CPM, CPSF1, CPT1C, CPXM1, CPXM2, CR2, CRCP, CREBL2, CREBRF, CRISPLD1, CRLS1, CROCC, CRY2, CRYBB3, CRYGS, CRYL1, CSGALNACT1, CSGALNACT2, CSMD1, CSRNP1, CST3, CTB-118N6.3, CTF1, CTSO, CUBN, CX3CL1, CX3CR1, CXCR6, CXorf36, CXorf40A, CYBB, CYFIP2, CYP27A1, CYP2E1, CYP2U1, CYP4X1, CYTH2, CYYR1, DAP, DCDC2, DCDC5, DCHS1, DCLK1, DDHD1, DDX26B, DDX43, DDX59, DEDD2, DENND4A, DENND5B, DEPDC5, DEPTOR, DFFB, DFNB31, DHDH, DHFRL1, DHRS4-AS1, DICER1-AS1, DISP1, DLGAP1, DLGAP1-AS1, DLGAP3, DMD, DMXL2, DNAH1, DNAH12, DNAJB4, DNAJB9, DNAJC24, DNAJC30, DNM3OS, DOCK10, DOCK11, DOCK4, DOCK8, DOK6, DOLPP1, DPP9, DPT, DPY19L1P1, DPYD, DPYSL3, DRAM1, DSE, DUOX2, DUSP10, DUSP18, DUSP3, DUSP6, EARS2, EBF3, ECI2, EDC4, EDN3, EFCAB13, EFEMP1, EFHB, EFNB2, EFNB3, EGF, EGFL6, EGR2, EHD3, EID2B, EIF2AK3, EIF2B1, EIF3F, EIF3J-AS1, EIF4E3, ELMOD2, EMB, EMC10, EMILIN2, EML3, EML6, ENOX2, ENPP2, ENTPD3, EOGT, EP400NL, EPB41L4A-AS1, EPC2, EPDR1, EPHA1-AS1, EPHB1, EPM2A, EPM2AIP1, ERAP2, ERCC2, ERG, ERI1, ERICH2, ERMP1, ETHE1, ETS1, ETV7, EVA1A, EVI2A, EVI2B, EXD2, EXOG, EXT2, EYA1, F2RL2, FAM104B, FAM105A, FAM107B, FAM110B, FAM115C, FAM117B, FAM118A, FAM122A, FAM126B, FAM134B, FAM150B, FAM160A2, FAM167A, FAM180A, FAM193B, FAM195B, FAM20A, FAM218A, FAM221A, FAM228B, FAM3B, FAM43A, FAM46C, FAM65B, FAM65C, FAM81A, FAM89A, FASLG, FASTKD3, FAT4, FBLN5, FBLN7, FBP1, FBXL14, FBXL16, FBXL20, FBXL3, FBXO3, FBXO30, FBXO38, FBXO44, FBXO46, FCER2, FCGBP, FCGRT, FCHSD1, FCHSD2, FDXACB1, FERMT1, FGF14, FGF14-AS2, FGF2, FGF23, FGF7, FGFR2, FGL2, FGR, FHL1, FHL5, FIGN, FIRRE, FKBPL, FLI1, FLT3LG, FLYWCH1, FMNL1, FMO1, FMO2, FNBP1, FNDC1, FOXD4L4, FOXN2, FOXO3, FOXRED1, FOXRED2, FRAT1, FRZB, FSTL1, FTL, FUCA1, FUT10, FYB, FYN, GABPB1-AS1, GABRP, GALC, GALNT15, GALT, GANC, GAS1, GAS2, GAS6, GAS6-AS2, GAS7, GBGT1, GCHFR, GCLC, GCNT1, GCSAM, GDAP1, GDPD5, GEM, GFI1, GGA1, GGA3, GGT6, GGTA1P, GIMAP1, GIMAP6, GIMAP7, GIMAP8, GIN1, GJA1, GLCCI1, GLIPR1, GLIPR1L1, GLTP, GLUL, GLYATL2, GNA13, GNAQ, GNE, GNG2, GNG7, GNLY, GNPDA2, GNRH1, GOLGA2P5, GOLGA8B, GP1BA, GPCPD1, GPM6B, GPNMB, GPR155, GPR171, GPR18, GPR34, GPR64, GPRC5B, GRAP2, GRASP, GREB1, GRIK1, GRWD1, GSAP, GSDMB, GSPT2, GVINP1, GYG2, GYPC, GZMA, H1F0, H1FX, HAAO, HAND2, HARS2, HAUS4, HAUS5, HBA2, HBB, HCG11, HCG27, HCG8, HDDC2, HDX, HEATR4, HECTD2, HEG1, HELQ, HEMK1, HEPHL1, HERC2P2, HERPUD1, HHEX, HINFP, HLA-A, HLA-B, HLA-DMA, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-E, HLA-F, HLA-F-AS1, HLA-H, HLA-L, HMGCS2, HMHA1, HMOX2, HOPX, HOTAIRM1, HOXA3, HOXA4, HOXB2, HOXB3, HOXB4, HOXC6, HPGD, HPGDS, HRASLS5, HS3ST1, HS3ST2, HS3ST4, HSD17B11, HSF4, HSPB8, HULC, HVCN1, ICA1L, IDNK, IDS, IFFO1, IFI16, IFI27L2, IFITM10, IGF1, IGFBP2, IGJ, IGLL5, IGSF6, IKBKAP, IKBKB, IKZF2, IKZF3, IKZF5, IL10RA, IL11RA, IL12A, IL16, IL18BP, IL18R1, IL1R1, IL32, IL4R, IL6R, IL7, IL7R, ILDR1, INPP4A, INPP4B, INPP5A, INPP5D, INTS10, INTS4, IPCEF1, IPO5P1, IPW, IQGAP2, IRAK3, IRAK4, IRF4, IRF9, IRX1, ISCA2, ISCU, ISLR, ISY1, ITFG1, ITGA4, ITGBL1, ITM2A, ITM2B, ITPR1, ITPR1-AS1, IVD, JADE1, JAK2, JAKMIP1, JAM2, JAZF1, JMJD8, KAL1, KAT2B, KATNAL1, KATNBL1, KBTBD3, KBTBD6, KCNE3, KCNJ16, KCNJ2, KCNJ8, KCNMA1, KCNN3, KCNS1, KHDRBS3, KIAA0040, KIAA0087, KIAA0141, KIAA1432, KIAA1586, KIAA1919, KIAA2026, KIF5C, KIT, KLF2, KLF3-AS1, KLF4, KLF8, KLHDC1, KLHL26, KLHL29, KLHL5, KLHL6, KLHL7-AS1, KLRB1, KLRD1, KLRF1, KMT2E-AS1, KPNA5, KRBA2, KREMEN1, KRT10, L3HYPDH, L3MBTL1, LASP1, LAT, LAX1, LBH, LCA5, LDB1, LDLRAP1, LEF1, LEPR, LEPREL1, LEPROTL1, LGALS3BP, LHFPL2, LIAS, LIFR, LIG4, LILRB5, LIMS1, LINC00174, LINC00265, LINC00294, LINC00312, LINC00324, LINC00341, LINC00476, LINC00641, LINC00663, LINC00667, LINC00847, LINC00899, LINC00909, LINC00926, LINC01089, LINC01133, LINC01152, LINC01279, LINC01355, LINS, LIPA, LMO2, LOC100128288, LOC100129034, LOC100129940, LOC100130691, LOC100130872, LOC100130992, LOC100131289, LOC100131691, LOC100132356, LOC100132891, LOC100133315, LOC100134317, LOC100270804, LOC100289019, LOC100505549, LOC100505912, LOC100506497, LOC100506674, LOC100506746, LOC100506844, LOC100507217, LOC100507424, LOC100507557, LOC100507577, LOC100996255, LOC101926888, LOC101927027, LOC101927043, LOC101927100, LOC101927150, LOC101927391, LOC101927482, LOC101927631, LOC101928020, LOC101928784, LOC101928855, LOC101929335, LOC102467147, LOC102723505, LOC102723517, LOC102724827, LOC152578, LOC284412, LOC286437, LOC389641, LOC389906, LOC400043, LOC440600, LOC554206, LOC643733, LOC643770, LOC645166, LOC653160, LOC728323, LOC730101, LOC730102, LOC81691, LONRF1, LOXL4, LPAR1, LPHN3, LPIN1, LPL, LPXN, LRCH2, LRMP, LRP10, LRP2, LRRC14, LRRC29, LRRK2, LRRN2, LSAMP, LTBP2, LTF, LUM, LURAP1L, LY9, LYG1, LYG2, LYPLAL1, LYRM1, LYSMD2, LYSMD4, MACROD2, MAFB, MAGEH1, MAL, MAMDC4, MAN1A1, MAN2B2, MAN2C1, MANEA-AS1, MAOB, MAP10, MAP1LC3A, MAP3K3, MAP3K4, MAP9, MAPK10, MAPK11, MAPK1IP1L, MARC1, MARC2, MARCH2, MARK1, MBD6, MBLAC2, MBNL1-AS1, MCM8, MCOLN2, MCTP2, MDFIC, ME3, MED22, MEF2C, MEGF10, MEGF8, MEI1, MEIS2, MET, METTL20, METTL22, METTL23, METTL7A, MEX3B, MFNG, MGAT3, MGC27345, MICAL1, MID1, MIEN1, MILR1, MIR155HG, MIR205HG, MIR22HG, MIR4458HG, MIR4697HG, MITD1, MLH1, MMD, MOCS1, MRFAP1L1, MRGPRF, MRPL10, MRPL45, MRPL54, MRPS27, MRS2P2, MS4A14, MS4A6A, MS4A7, MSANTD2, MSL3P1, MSS51, MST1L, MT1M, MTERF, MTG1, MTMR10, MTMR7, MTMR9, MTMR9LP, MUC16, MVB12B, MYBPC1, MYEF2, MYH3, MYLK4, MYO9B, MYOT, MZF1, N4BP2L1, NAAA, NABP1, NAGLU, NANOS1, NAT6, NBEA, NBR2, NCALD, NCAM1, NCDN, NCEH1, NCK1, NCKAP1L, NCKAP5, NDN, NDNL2, NDRG4, NECAB1, NECAP2, NEIL2, NELL2, NFATC1, NFATC2, NFS1, NFYC, NHLRC1, NHLRC3, NHS, NICN1, NID2, NIFK-AS1, NIPA1, NIPAL3, NKAPP1, NKG7, NKIRAS2, NKX3-1, NLRC3, NLRC4, NLRC5, NLRP2, NMNAT3, NMRK1, NNT-AS1, NOBOX, NOTCH1, NOV, NOX1, NPAS2, NPC2, NPFF, NPIPA1, NPL, NR2F2-AS1, NR3C2, NRIP1, NRSN1, NSUN3, NSUN7, NT5E, NTRK2, NTRK3, NUDT18, NUDT4, NUP35, OAF, OCEL1, OGFOD2, OMA1, OMD, OPHN1, ORC4, OSBPL11, OSBPL3, OSGEPL1, OSMR, OSR1, OST4, OTUD3, OTUD6B-AS1, OVGP1, P2RY14, P2RY2, PADI2, PAFAH2, PAK3, PALD1, PAN2, PANK2, PAPD4, PAPLN, PAPPA, PAQR8, PARK2, PARP11, PARP8, PARVA, PARVG, PATL2, PAX6, PAX8-AS1, PAXBP1-AS1, PAXIP1OS, PBX4, PBXIP1, PCAT18, PCDH18, PCDH9, PCED1A, PCED1B, PCSK1, PDCD1LG2, PDCD2, PDCD4, PDE1A, PDE2A, PDE4B, PDIK1L, PDK4, PDPN, PDSS2, PDZRN3, PECAM1, PET112, PET117, PEX11A, PFKM, PGBD1, PHF1, PHLDA1, PHPT1, PICK1, PID1, PIGB, PIGF, PIGH, PIGL, PIGO, PIGR, PIK3CG, PIK3IP1, PILRA, PIP4K2A, PIP4K2B, PIP5K1B, PIWIL4, PKDCC, PKIA, PKIG, PLA2G4C, PLCL2, PLEKHF1, PLEKHG1, PLEKHS1, PLIN5, PLK3, PNLDC1, PNMA3, PNPLA7, PNRC1, POC1B, POFUT2, POGLUT1, POLD4, POLI, POLR2J3, POLR3E, POMGNT1, POMT1, POPDC2, POSTN, POT1, POU2F2, PPAP2B, PPARG, PPM1K, PPP1CA, PPP1CC, PPP1R12C, PPP1R16B, PPP1R1B, PPP1R3E, PPP3CC, PPP6C, PPT1, PQLC1, PQLC3, PRAME, PRCP, PRDM10, PRDM11, PRDM16, PRDX3, PREX1, PRF1, PRICKLE2, PRKAB1, PRKACB, PRKAR2A-AS1, PRKAR2B, PRKCA, PRKCE, PRKCH, PRKX, PRKXP1, PRMT3, PRMT9, PRNP, PROCR, PROM1, PROS1, PROSER2-AS1, PROX1, PRR16, PRR5L, PRRG1, PRSS12, PRSS21, PRSS23, PSD4, PSMB9, PSMD5, PTAFR, PTCH1, PTCHD3, PTGDR, PTGER4, PTGES3L, PTGFR, PTGIS, PTK2B, PTPLAD2, PTPN22, PTPN23, PTPRC, PTPRJ, PTPRZ1, PVT1, PWAR5, PWARSN, PXK, PXMP4, PXYLP1, PYCRL, QPCT, QRICH1, RAB11B-AS1, RAB24, RAB28, RAB30, RAB33B, RALGAPA2, RAP2A, RARB, RARRES3, RASA1, RASAL3, RASGRP3, RASIP1, RASL11B, RASSF1, RASSF2, RASSF5, RASSF6, RB1, RBBP9, RBM11, RBM15, RBM18, RBM7, RCBTB2, RCSD1, RELL1, RELN, REP15, RFTN1, RGCC, RGL4, RGS14, RGS18, RGS2, RHBDD1, RHOH, RHOQ, RHOU, RIPK3, RNASE6, RNF103, RNF111, RNF125, RNF150, RNF152, RNF166, RNF17, RNF175, RNF180, RNF207, RNF44, RNPEPL1, ROBO1, ROM1, ROPN1, ROR1, RP9P, RPA2, RPGR, RPL21P44, RPS28, RRN3P2, RRP15, RTN1, RUNX2, RUNX3, S1PR1, S1PR3, SAMD10, SAMD12, SATB1, SCAMP1-AS1, SCARA3, SCARF1, SCFD2, SCN2A, SCN4A, SCOC-AS1, SDCCAG3, SDHAP1, SDHD, SEC14L1P1, SEC62, SELM, SEPSECS, SEPSECS-AS1, SEPT4, SEPT6, SERPINA5, SERPINF1, SERTAD1, SERTAD4-AS1, SESN1, SESN3, SETDB2, SFSWAP, SFXN5, SGCE, SGIP1, SGK223, SGK494, SGPP1, SH2B3, SH2D3C, SH3BGR, SH3BP4, SH3GLB2, SHANK3, SHC3, SHROOM3, SIGLEC1, SIK3, SIPA1L3, SIRPA, SIT1, SIX4, SKAP1, SKAP2, SLAMF1, SLAMF6, SLAMF7, SLC10A7, SLC12A6, SLC15A4, SLC17A9, SLC1A2, SLC22A5, SLC25A15, SLC25A17, SLC25A26, SLC25A27, SLC25A30, SLC25A42, SLC26A4, SLC2A13, SLC35A5, SLC36A4, SLC38A6, SLC38A9, SLC41A1, SLC46A3, SLC47A1, SLC48A1, SLC4A11, SLC51A, SLC7A11, SLC9A9, SLCO2B1, SLFN11, SLFN12, SLFN5, SLIT2, SMAD2, SMAP2, SMIM10, SMPD1, SMPD2, SMPD3, SMPDL3A, SMURF1, SMYD4, SNAP47, SND1-IT1, SNED1, SNHG10, SNHG12, SNHG18, SNHG21, SNHG8, SNN, SNORA25, SNORA80A, SNRK, SNRPA, SNTB1, SNX11, SNX22, SOBP, SOCS1, SOX13, SPA17, SPAG16, SPAG6, SPATA2, SPATA5, SPECC1L, SPG11, SPON1, SPRY2, SRFBP1, SRGAP3, SRP14-AS1, SSC5D, ST3GAL3, ST6GAL1, ST6GALNAC1, ST6GALNAC3, ST7-AS1, ST8SIA1, STAC2, STAG3, STARD3NL, STARD7, STARD9, STK17A, STK31, STK32B, STK4, STL, STMN3, STOML1, STRA13, STRADA, STRADB, STRIP2, STXBP5L, SUCLG2-AS1, SUMO4, SUOX, SYNRG, SYTL1, TACC1, TAF10, TAF4B, TAGAP, TAP2, TAPBPL, TAPT1, TASP1, TAT, TBC1D10C, TBC1D19, TBX19, TCF4, TCF7, TCN2, TCP11L1, TCP11L2, TCTEX1D1, TDRD10, TDRP, TEC, TEF, TEK, TENM1, TESC, TEX30, TFAP2B, TFEB, TGFBR2, TGFBR3, TGIF2, THG1L, THUMPD3-AS1, TIFA, TIGD1, TIGD5, TIGIT, TINF2, TLR2, TLR4, TLR5, TM6SF1, TMC8, TMCC1-AS1, TMEM119, TMEM129, TMEM136, TMEM143, TMEM161B-AS1, TMEM163, TMEM170B, TMEM173, TMEM176A, TMEM176B, TMEM184C, TMEM186, TMEM204, TMEM213, TMEM216, TMEM220, TMEM230, TMEM243, TMEM246, TMEM255A, TMEM26, TMEM37, TMEM64, TMEM80, TMEM98, TMPRSS2, TMPRSS5, TMX4, TNFAIP2, TNFAIP8L1, TNFRSF11A, TNFRSF11B, TNFRSF14, TNFRSF19, TNFRSF1B, TNFRSF8, TNN, TNRC6C, TNRC6C-AS1, TOX, TOX3, TP63, TP73-AS1, TPP1, TRABD, TRABD2B, TRAF3IP2-AS1, TRAM2, TRAPPC2P1, TRIM22, TRIM52-AS1, TRIM59, TRIM67, TRIM9, TRIQK, TRMT2A, TRMT61A, TRPC1, TRPC6, TRPM4, TRPT1, TSC22D1-AS1, TSHR, TSHZ2, TSHZ3, TSPAN11, TSPAN12, TSPAN17, TTC14, TTC32, TTC38, TTC5, TTF1, TTN, TUBB1, TUSC3, TXNDC15, TXNIP, TYK2, TYSND1, TYW3, U2AF1L4, UBA3, UBE2D4, UBE3A, UBE3D, UBIAD1, UBLCP1, UBOX5, UIMC1, UNKL, UQCC1, USP3-AS1, USP30, USP32P2, USP38, USP44, USP51, UTP14C, VAMP1, VAMP3, VEGFC, VILL, VIPR1, VPS9D1, VWCE, WASH1, WASH2P, WASH7P, WBP2, WDR1, WDR5B, WDR73, WDR86-AS1, WDTC1, WFDC2, WIPF1, WIPF3, WIPI1, WISP2, WNT2, WSCD1, WWOX, XKR6, XKR9, XRCC4, XRCC6BP1, YOD1, YPEL1, YPEL4, ZAP70, ZBED5, ZBED5-AS1, ZBED8, ZBTB16, ZBTB2, ZBTB20, ZBTB25, ZBTB26, ZC3H12B, ZCCHC3, ZCCHC4, ZCWPW2, ZDHHC21, ZDHHC8P1, ZFP30, ZFP36L1, ZFP90, ZKSCAN5, ZKSCAN8, ZMYND12, ZNF10, ZNF101, ZNF124, ZNF14, ZNF154, ZNF165, ZNF169, ZNF175, ZNF202, ZNF204P, ZNF211, ZNF23, ZNF25, ZNF250, ZNF252P, ZNF260, ZNF276, ZNF285, ZNF286B, ZNF300, ZNF317, ZNF324, ZNF334, ZNF335, ZNF345, ZNF383, ZNF385D, ZNF420, ZNF44, ZNF468, ZNF484, ZNF503, ZNF512, ZNF546, ZNF569, ZNF571, ZNF580, ZNF582-AS1, ZNF583, ZNF584, ZNF585B, ZNF587, ZNF594, ZNF595, ZNF596, ZNF600, ZNF662, ZNF669, ZNF674-AS1, ZNF677, ZNF683, ZNF697, ZNF699, ZNF700, ZNF704, ZNF729, ZNF740, ZNF75A, ZNF763, ZNF776, ZNF781, ZNF782, ZNF784, ZNF808, ZNF812, ZNF818P, ZNF823, ZNF831, ZNF833P, ZNF844, ZNF846, ZNF850, ZSCAN12, ZSCAN22, ZSWIM3"
"R_vs_S:A.UP & R_vs_S:B.DN",2,251,212.720889830508,1.17994993439521,0.000557552172018848,"ABCC11, ABCC6, ABLIM3, ACKR3, ACOT1, ACTA2, ACTN4, ACTR8, AGR2, AHNAK2, AK5, AKR7A3, ANGPT1, ANGPTL1, ANK3, ANKRD30A, APAF1, APBA1, APCDD1L-AS1, AQP4, ARFIP1, ARHGEF38, ARHGEF4, ARL15, ATP13A4, BAALC, BMP4, BMPER, BMPR1B, BNIPL, C14orf37, C1orf101, C1orf116, CA12, CACNG4, CAD, CAMKK1, CASC14, CCDC17, CCDC30, CCDC74A, CCL28, CCNO, CCSER1, CDR1, CEP89, CGN, CMYA5, CNN1, COBL, COL11A1, COL13A1, COL15A1, COL4A6, COL7A1, COPG2, CREB3L1, CROT, CRYAB, CTNND1, CYP7B1, DDX31, DHODH, DHX35, DLK1, DNAJC12, DSG3, DTX1, EDIL3, EFCAB4A, EGFL7, EGFR, ENO4, EPB41L1, EPPK1, ERBB4, EXOSC9, FAAH2, FABP4, FAM160A1, FAM35A, FAM35DP, FAT2, FBXO36, FGF12, FITM2, FKBP1AP1, FLT1, FMN2, FNDC5, FOSL2, FOXI1, FOXP2, FST, GALNT5, GHR, GHRLOS, GPC3, GPR98, GPRIN2, GRAMD2, GRIA4, GRP, HAP1, HAS3, HIF1A, HMGCLL1, HS6ST2, HSPA4L, IL17RD, INHBB, IRF6, IRX4, ITGA11, ITGB6, KCND2, KCNIP4, KIAA0753, KIAA1462, KRT17, LAMA3, LCA5L, LETM2, LINC00176, LINC00852, LINC00883, LINC00893, LINC00993, LMO3, LMOD1, LOC100132781, LOC100505716, LOC100996635, LOC101926935, LOC101927550, LONRF3, LOXL1-AS1, LRCH3, LRRC48, LRRN4CL, LRRTM2, LYPD3, LYPD6, MAGI2, MAML3, MAP2K6, MAPT, MARVELD2, MED12L, MME, MPP3, MST1R, MSX2, MT1X, MUCL1, MYCT1, MYEOV, MYH11, MYO18A, MYO1H, NAP1L5, NAV3, NBPF25P, NCOA2, NIPAL2, NRK, NRN1, NTF3, OSCP1, PACSIN3, PALM, PCDH10, PCDHB9, PCDHGA5, PCDHGB7, PCOLCE2, PGAM1P5, PIFO, PIGV, PIH1D2, PLAC4, PLCH2, PLD1, PLVAP, PON3, POTEE, PPFIA2, PPP1R13B, PRKAR2A, PRR15L, PRR34, PRRT2, PTGR1, PTPRD, PTPRT, RAPGEF3, RASL10A, REEP1, REEP6, RFX2, RGAG4, RIMKLB, RIMS1, RNF128, ROBO4, RSPH1, SCGB1D2, SEMA6D, SERPINI1, SHROOM4, SLC13A3, SLC22A4, SLC27A3, SLC2A1-AS1, SLC30A8, SOX17, SOX5, SOX7, SPATA18, SPC25, SPTSSB, ST6GAL2, STC2, STOX1, SYNE4, TADA2A, TFF3, THOC6, THRSP, THSD7B, TMC7, TSPAN1, UGT2B15, UNC5C, UPP2, VAV3, VLDLR, VSIG10L, WDR27, WNK2, WNK4, ZBED6, ZFYVE9, ZNF200, ZNF225, ZNF32-AS2, ZNF354C, ZNF432, ZNF460, ZNF57, ZNF571-AS1"
"R_vs_S:A.UP & R_vs_S:B.DN & R_vs_S:B.UP",3,0,31.7999703102557,0,1,""
"R_vs_S:A.DN & R_vs_S:B.UP",2,125,78.9315254237288,1.58365113722257,6.17282878184125e-08,"ACOT7, ADAMDEC1, ADD2, ANXA2R, APOBEC3A, ARHGAP22, ASB9, BATF2, BCL2A1, BIRC5, C11orf82, C15orf48, C16orf91, C17orf53, C1orf159, C1orf53, C3AR1, C6orf15, CALB2, CCDC167, CCL19, CCL20, CCR7, CCRL2, CD5, CDCA5, CDCA7, CENPA, CFP, CHI3L1, CHST4, CLCN5, CLEC4E, COCH, CSF3R, CSN3, CTHRC1, CXCL10, CXCL11, CXCL13, CXCL17, CXCR2P1, CYTIP, DCK, DCTPP1, DTL, DUSP23, E2F8, ERCC6L, FAM118B, FAM198A, FAM19A5, FAM64A, FCGR2B, FCRL5, FOXQ1, FPR1, FPR3, FRMD3, FUT3, GALNT13, GBP1P1, GDF6, GPR55, HCST, HORMAD1, HOXC13, HRCT1, HSD11B2, HSD3B7, HYAL3, HYLS1, IRF8, ISG15, JAK3, KBTBD8, KCNH2, KIF15, KIF21B, KLRG1, KPTN, LILRB2, LOC100506606, LOC100996579, LOC100996609, LOC645638, LYZ, MFSD12, MMP20, MMP3, MMP9, MTFR2, MX2, NDUFAF4, NOL4, OASL, OXGR1, PNP, POU2AF1, PRKCQ, PYHIN1, RHBDL2, RTP4, SAA2, SARS2, SECTM1, SELL, SLAMF8, SLC16A10, SLC25A53, SNORA33, SNX10, SOX11, STARD4, TFPI2, TIMM8B, TLR1, TLR6, TNF, TXLNB, UBASH3B, UCHL1, VNN1, VNN2, ZIC1"
"R_vs_S:A.DN & R_vs_S:B.DN",2,36,13.0433898305085,2.76001871199127,4.78769264786707e-08,"ACTL8, CAGE1, CDKN2A, CDSN, CKMT1A, CYP24A1, DYNC1I1, E2F7, GAL, HIST1H1B, HIST1H2BC, HIST1H2BD, KIAA2022, KIF2C, KRT81, L1CAM, MB21D2, MMP1, MMP12, NPR3, ONECUT2, OVOL1, PCDHB13, PI3, S100A2, S100A7, S100A7A, S100A8, S100A9, SLC35G1, SLC6A15, SNORA58, SYT12, TM4SF4, ZFP42, ZMYND19"
"R_vs_S:A.DN & R_vs_S:B.DN & R_vs_S:B.UP",3,0,1.94987624245906,0,1,""
"R_vs_S:A.DN & R_vs_S:A.UP",2,0,192.652881355932,0,1,""
"R_vs_S:A.DN & R_vs_S:A.UP & R_vs_S:B.UP",3,0,28.799973111175,0,1,""
"R_vs_S:A.DN & R_vs_S:A.UP & R_vs_S:B.DN",3,0,4.75917923010629,0,1,""
